nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Nube Aniquiladora,5,Nivel 5,Conjuración,hechicero; mago,Acción,36 m,"V, S","Concentración, hasta 10 minutos","Creas una esfera de una niebla amarillo-verdosa de 6 m

de radio centrada en un punto dentro del alcance. La niebla

dura hasta que el conjuro termine o hasta que la disperse

un viento intenso (por ejemplo, el que crea ráfaga de viento),

lo que pondrá fin al conjuro. La zona que ocupa está muy

oscura.

Todas las criaturas situadas en la esfera hacen una

tirada de salvación de Constitución; sufrirán 5d8 de d

de veneno si la fallan o la mitad del daño si la super

Una criatura también deberá hacer esta tirada cuando l

esfera entre en su espacio o cuando la criatura entre

esfera o termine su turno en ella. Una criatura solo h

esta tirada una vez por turno.

La esfera se aleja de ti 3 m al principio de cada un

tus turnos.

Con un espacio de conjuro de nivel superior. El dañ

aumenta en 1d8 por cada nivel por encima de 5 que teng

el espacio.",pendiente,
Nube Apestosa,3,Nivel 3,Conjuración,bardo; hechicero; mago,Acción,27 m,"V, S, M (un huevo podrido)","Concentración, hasta 1 minuto","Creas una esfera de gas nauseabundo y amarillento de

6 m de radio centrada en un punto dentro del alcance.

La nube está muy oscura y permanece en el aire hasta q

el conjuro termine o hasta que la disperse un viento f

(por ejemplo, el que crea ráfaga de viento).

Todas las criaturas que comiencen su turno en la es

deberán superar una tirada de salvación de Constitució

o tendrán el estado de envenenadas hasta el final del

turno actual. Mientras estén envenenadas de esta forma

no podrán realizar acciones ni acciones adicionales.",pendiente,
Nube de Dagas,2,Nivel 2,Conjuración,bardo; brujo; hechicero; mago,Acción,18 m,"V, S, M (un fragmento de cristal)","Concentración, hasta 1 minuto","Conjuras dagas giratorias en un cubo de 1,5 m centrado

en un punto dentro del alcance. Todas las criaturas

situadas en esa zona sufren 4d4 de daño cortante.

Una criatura también recibe daño si entra en el cubo,

si termina su turno en él o si el cubo entra en su esp

Una criatura solo sufre este daño una vez por turno.

En tus siguientes turnos, puedes usar una acción de

magia para teletransportar el cubo hasta 9 m.

Con un espacio de conjuro de nivel superior. El dañ

aumenta en 2d4 por cada nivel por encima de 2 que teng

el espacio.",pendiente,
Nube de Oscurecimiento,1,Nivel 1,Conjuración,,Acción,45 m,"V, S","Concentración, hasta 1 minuto","Creas una esfera de niebla de 6 m de radio centrada en

año      un punto dentro del alcance. La esfera está muy oscura

an.      y dura hasta que el conjuro termine o hasta que la disperse

a        un viento fuerte (por ejemplo, el que crea ráfaga de viento).

en la      Con un espacio de conjuro de nivel superior. El radio de la

ace      niebla aumenta en 6 m por cada nivel por encima de 1 que

tenga el espacio.

o de

o        NUBE INCENDIARIA

a        Conjuración de nivel 8 (druida, hechicero, mago)

Una nube turbulenta de humo y ascuas llena una esfera

de 6 m de radio centrada en un punto dentro del alcance.

La zona que ocupa la nube está muy oscura y dura hasta

que el conjuro termine o hasta que la disperse un viento

fuerte (por ejemplo, el que crea ráfaga de viento).

Cuando aparezca la nube, todas las criaturas dentro de

ella harán una tirada de salvación de Destreza; sufrirán

ue       10d8 de daño de fuego si la fallan o la mitad del daño si la

uerte    superan. Una criatura también deberá hacer esta tirada

cuando la esfera entre en su espacio o cuando la criatura

fera     entre en la esfera o termine su turno en ella. Una criatura

n        solo hace esta tirada una vez por turno.

La nube se aleja de ti 3 m en la dirección que elijas al

,        principio de cada uno de tus turnos.",pendiente,
Ofuscación,8,Nivel 8,Encantamiento,bardo; brujo; druida; mago,Acción,45 m,"V, S, M (un llavero sin llaves)",Instantáneo,"Atacas la mente de una criatura que puedas ver dentro

del alcance. El objetivo hace una tirada de salvación de

Inteligencia.

Si la falla, sufrirá 10412 de daño psíquico y no podrá

lanzar conjuros ni realizar acciones de magia. Al final

acio.    de cada 30 días, el objetivo repite la tirada de salvación

y, si tiene éxito, se librará del efecto. También se puede

finalizar este efecto mediante un conjuro curar, deseo

o restablecimiento mayor.

o           Si supera la tirada, solo sufrirá la mitad de ese daño.

a",pendiente,
Ojo Arcano,4,Nivel 4,Adivinación,mago,Acción,,"V, S, M (un poco de pelo de murciélago)",Instantáneo,"Concentración, hasta 1 hora mago)   Alcance: 9 m Creas un ojo invisible e invulnerable dentro del alcance que levita hasta que el conjuro termine. Recibes mentalmente información visual desde el ojo, que puede mirar en cualquier dirección y tiene visión en la oscuridad hasta 9 m Como acción adicional, puedes mover el ojo hasta 9 m en cualquier dirección. El ojo no podrá atravesar una barrera sólida, pero podrá pasar por cualquier abertura de 2,5 cm de diámetro como mínimo.",pendiente,
Ola Atronadora,1,Nivel 1,Evocación,bardo; druida; hechicero; mago,Acción,Lanzador,"V, S",Instantáneo,"Desatas una ola de energía atronadora. Todas las criaturas

situadas en un cubo de 4,5 m de lado adyacente a ti harán

una tirada de salvación de Constitución. Si la fallan,

recibirán 2d8 de daño de trueno y serán empujadas 3 m

respecto a ti. Si la superan, solo sufrirán la mitad de ese

Además, a los objetos sueltos que estén completamente

dentro del cubo se les empujará 3 m respecto a ti y la

explosión atronadora podrá oírse a 90 m de distancia.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d8 por cada nivel por encima de 1 que tenga

el espacio.

7        ds HECHICERA HUMANA REPRENDE A UNOS,

IN LA ENERGÍA IMPREDECIBLE DE

E CROMÁTICO.",pendiente,
Ola Destructora,5,Nivel 5,Evocación,paladín,Acción,Lanzador,V,Instantáneo,".

Una energía destructiva surge de ti formando ondas en

una emanación de 9 m. Las criaturas que elijas dentro de la

emanación realizan una tirada de salvación de Constitución.

Si la fallan, sufrirán 5d6 de daño de trueno, 5d6 de daño

radiante o necrótico (a tu elección) y tendrán el estado de

derribadas. Si la superan, solamente recibirán la mitad de

ese daño.",pendiente,
Orbe Cromático,1,Nivel 1,Evocación,hechicero; mago,Acción,,"V, S, M (un diamante que valga al menos",Instantáneo daño.   Alcance: 27 m 50 po),"Lanzas un orbe de energía a un objetivo dentro del

alcance. Elige entre ácido, frío, fuego, relámpago, trueno

o veneno para el tipo de orbe creado y después haz un

ataque de conjuro a distancia contra el objetivo. Si acierta,

el objetivo recibe 3d8 de daño del tipo elegido.

CAPÍTULO 7    | CONJUROS             315

Si sacas el mismo número en dos o más de los d8, el orbe

salta a otro objetivo distinto de tu elección que esté a 9 m

o menos del objetivo. Haz una tirada de ataque contra el

nuevo objetivo y otra tirada de daño. El orbe no puede

volver a saltar, a menos que lances el conjuro con un

espacio de nivel 2 o superior.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d8 por cada nivel por encima de 1 que tenga

el espacio. El orbe puede saltar un máximo de veces igual

al nivel del espacio gastado. Una criatura solo puede ser

el objetivo una vez por cada lanzamiento del conjuro.",pendiente,
Orden Imperiosa,1,Nivel 1,Encantamiento,bardo; clérigo; paladín,Acción,18 m,V,Instantáneo,"Das una orden de una sola palabra a una criatura que

puedas ver dentro del alcance. El objetivo debe superar

una tirada de salvación de Sabiduría o verse obligado

a obedecer la orden en su próximo turno. Elige una de las

siguientes órdenes:

Acércate. El objetivo se acerca a ti por la ruta más corta

y directa posible, y su turno acaba si se sitúa a 1,5 m

o menos de ti.

Detente. En su turno, el objetivo no se mueve y no usa

acciones ni acciones adicionales.

Huye. El objetivo emplea su turno en alejarse de ti de

la manera más rápida posible.

Póstrate. El objetivo adopta el estado de derribado

y termina su turno.

Suelta. El objetivo suelta lo que sea que esté sujetando

y acaba su turno.

Con un espacio de conjuro de nivel superior. Puedes

afectar a una criatura adicional por cada nivel por encima

de 1 que tenga el espacio.",pendiente,
Oscuridad,2,Nivel 2,Evocación,brujo; hechicero; mago,Acción,18 m,"V, M (pelaje de murciélago y un trozo","Concentración, hasta 10 minutos","de carbón)

Hasta que el conjuro termine, una oscuridad mágica se

propaga desde un punto dentro del alcance y llena una

esfera de 4,5 m de radio. La visión en la oscuridad no puede

ver a través de ella y la luz no mágica no puede alumbrarla.

Como alternativa, lanzas el conjuro sobre un objeto

que no lleve o vista nadie, lo que hará que la oscuridad

llene una emanación de 4,5 m que se origina en él. Cubrir

el objeto con algo opaco, como un cuenco o un casco,

bloqueará la oscuridad.

Si cualquier zona del conjuro se superpone con una

zona de luz brillante o luz tenue creada por un conjuro

de nivel 2 o inferior, el conjuro que creó esa luz se disipa",pendiente,
Palabra de Curación,1,Nivel 1,Abjuración,bardo; clérigo; druida,Acción adicional,18 m,V,Instantáneo,"Una criatura de tu elección que puedas ver dentro del

alcance recupera una cantidad de puntos de golpe igual

a 2d4 más tu modificador por aptitud mágica.

Con un espacio de conjuro de nivel superior. La curación

aumenta en 2d4 por cada nivel por encima de 1 que tenga

el espacio.",pendiente,
Palabra de Curación en Masa,3,Nivel 3,Abjuración,bardo; clérigo,Acción,18 m,V,Instantáneo,"Hasta seis criaturas de tu elección que puedas ver dentro

del alcance recuperan una cantidad de puntos de golpe

igual a 2d4 más tu modificador por aptitud mágica.

Con un espacio de conjuro de nivel superior. La curación

aumenta en 1d4 por cada nivel por encima de 3 que tenga

el espacio.

PALABRA DE PODER: ATURDIR

Encantamiento de nivel 8 (bardo, brujo, hechicero, mago)

Abrumas la mente de una criatura que puedas ver dentro

del alcance. Si el objetivo tiene 150 puntos de golpe

o menos, tendrá el estado de aturdido. De lo contrario,

su velocidad será O hasta el principio de tu siguiente

turno.

El objetivo aturdido hace una tirada de salvación de

Constitución al final de cada uno de sus turnos y, si tiene

éxito, se librará del estado.

PALABRA DE PODER: FORTALECER

Encantamiento de nivel 7 (bardo, clérigo)

Refuerzas a hasta seis criaturas que puedas ver dentro

del alcance. El conjuro proporciona 120 puntos de golpe

temporales, que divides entre los objetivos.

.

PALABRA DE PODER: MATAR

Encantamiento de nivel 9 (bardo, brujo, hechicero, mago)

Obligas a morir a una criatura que puedas ver dentro del

alcance. Si el objetivo tiene 100 puntos de golpe o menos,

morirá. De lo contrario, sufrirá 12d12 de daño psíquico.

PALABRA DE PODER: SANAR

Encantamiento de nivel 9 (bardo, clérigo)

Una criatura que puedas ver dentro del alcance se ve

envuelta por una oleada de energía sanadora. El objetivo

recupera todos sus puntos de golpe. Si la criatura tiene

los estados de asustada, aturdida, envenenada, hechizada

o paralizada, los estados terminan. Si la criatura tiene

el estado de derribada, puede usar su reacción para

levantarse.",pendiente,
Palabra de Regreso,6,Nivel 6,Conjuración,clérigo,Acción,"1,5 m",V,Instantáneo,"Tú y hasta cinco criaturas voluntarias a 1,5 m o menos de

ti os teletransportáis al instante a un santuario designado

previamente. Tú y cualquier criatura que se teletransporte

contigo apareceréis en el espacio sin ocupar más cercano

al punto designado al preparar el santuario (consulta más

adelante). Si lanzas este conjuro sin preparar antes un

santuario, no tiene ningún efecto.

Debes designar un lugar como santuario lanzando este

conjuro allí; por ejemplo, en un templo.",pendiente,
Palabra de Resplandor,0,Truco,Evocación,clérigo,Acción,Lanzador,"V, M (un símbolo con forma de rayo)",Instantáneo,"Un fulgor ardiente surge de ti en una emanación de 1,5 m.

Todas las criaturas de tu elección que puedas ver en ella

deberán superar una tirada de salvación de Constitución

o sufrirán 1d6 de daño radiante.

Mejora de truco. El daño aumenta en 1d6 cuando

alcanzas los niveles 5 (2d6), 11 (3d6) y 17 (4d6).",ok,
Palabra Divina,7,Nivel 7,Evocación,clérigo,Acción adicional,9 m,V,Instantáneo,"Susurras una palabra imbuida con el poder de los Planos

Superiores. Todas las criaturas de tu elección dentro

del alcance realizan una tirada de salvación de Carisma.

Si la fallan, los objetivos que tengan 50 puntos de golpe

o menos sufrirán un efecto en función de sus puntos

de golpe actuales, como se muestra en la tabla “Efectos

de palabra divina”. Con independencia de sus puntos

de golpe, cualquier objetivo celestial, elemental, feérico

o infernal que falle su tirada de salvación se verá forzado

a regresar a su plano de origen (si no está en él ya) y no

podrá regresar al plano actual durante 24 horas por

cualquier medio que no sea un conjuro deseo.

EFECTOS DE PALABRA DIVINA

Puntos de golpe      Efecto

0-20          El objetivo muere.

21-30         El objetivo tiene los estados de aturdido,

cegado y ensordecido durante 1 hora.

31-40         El objetivo tiene los estados de cegado

y ensordecido durante 10 minutos.

41-50         El objetivo tiene el estado de

ensordecido durante 1 minuto.",pendiente,
Parar el Tiempo,9,Nivel 9,Transmutación,hechicero; mago,Acción,Lanzador,V,Instantáneo,"Detienes el paso del tiempo brevemente para todo el mundo

menos para ti. Para las demás criaturas, el tiempo no

avanza, mientras que tú puedes llevar a cabo 1d4 + 1 turnos

seguidos, durante los cuales puedes usar acciones y moverte

con normalidad.

Este conjuro termina si una de las acciones que usas

o uno de los efectos que creas durante este periodo afecta

a una criatura que no seas tú o a un objeto que lleve o vista

alguien que no seas tú. También termina si te mueves a un

sitio que esté a más de 300 m del lugar donde lo lanzaste.",pendiente,
Pasamuros,5,Nivel 5,Transmutación,mago,Acción,9 m,"V, S, M (una pizca de semillas de sésamo)",1 hora,"VIAJAR MEDIANTE PLANTAS Y PASO ARBÓREO

CONVIERTEN LOS ÁRBOLES EN UNA RED DE

TRANSPORTE.

Aparece un pasaje en un punto que puedas ver en una

superficie de madera, yeso o piedra (como una pared,

un techo o un suelo) dentro del alcance y se mantiene

hasta que termine el conjuro. Tú eliges las dimensione

de la abertura: hasta 1,5 m de ancho, 2,4 m de alto y

de largo. El pasaje no crea ninguna inestabilidad en l

estructura que lo rodea.

Cuando la abertura desaparece, las criaturas o los

objetos que sigan en el pasaje creado por el conjuro s

expulsados sin daño alguno al espacio sin ocupar más

cercano a la superficie sobre la que lanzaste el conju",pendiente,
Pasar sin Rastro,2,Nivel 2,Abjuración,druida; explorador,Acción,Lanzador,"V, S, M (cenizas de muérdago quemado)","Concentración, hasta 1 hora","Hasta que el conjuro termine, irradias un aura de ocul

en una emanación de 9 m. Mientras permanezcáis dentro,

las criaturas que elijas y tú tendréis un bonificador

alas pruebas de Destreza (Sigilo) y no dejaréis huella",pendiente,
Paso Arbóreo,5,Nivel 5,Conjuración,druida; explorador,Acción,36 m,"V, S, M (una pizca de confeti)","Concentración, hasta 1 minuto","Obtienes la capacidad de entrar en un árbol y moverte

desde dentro al interior de otro árbol del mismo tipo

esté a 150 m o menos. Ambos árboles tienen que estar

vivos y ser al menos del mismo tamaño que tú. Para ent

en un árbol debes gastar 1,5 m de movimiento. Al insta

conoces la ubicación de todos los demás árboles del mi

tipo situados a 150 m o menos y, como parte del movimi

gastado para entrar en el árbol, puedes pasar al inter

de uno de esos árboles o salir del árbol en el que est

Apareces en un punto de tu elección a 1,5 m o menos del

árbol de destino gastando otros 1,5 m de movimiento.

Si no te queda movimiento, apareces a 1,5 m o menos

s        del árbol en el que entraste.

6 m        Puedes usar esta capacidad de transporte solo una vez

a        en cada uno de tus turnos y debes terminar cada turno

fuera de un árbol.

erán

PASO BRUMOSO

ro.      Conjuración de nivel2 (brujo, hechicero, mago)

Una niebla plateada te rodea brevemente y te teletransportas

hasta 9 m a un espacio sin ocupar que puedas ver.

tación   PATRÓN HIPNÓTICO

Ilusionismo de nivel 3 (bardo, brujo, hechicero, mago)

de +10

s.

Creas un patrón de colores que se retuercen en un cubo

de 9 m de lado dentro del alcance. El patrón aparece un

instante y se desvanece. Todas las criaturas de la zona

que puedan ver el patrón deberán superar una tirada de

salvación de Sabiduría o tendrán el estado de hechizadas

hasta que termine el conjuro. Mientras estén hechizadas,

las criaturas tendrán una velocidad de O y el estado de

que      incapacitadas.

El conjuro finaliza para una criatura afectada si esta

rar      recibe daño o si alguien más emplea una acción para

nte      sacudir a dicha criatura y sacarla de su estupor.

smo

ento

ior

ás.",pendiente,
Pequeña Choza de Leomund,3,Nivel 3,Evocación,bardo; mago,1 minuto o un ritual,Lanzador,"V, S, M (una cuenta de cristal)",8 horas,"Una emanación de 3 m surge a tu alrededory permanece

estática hasta que termine el conjuro. El conjuro fallará

al lanzarlo si la emanación no es lo bastante grande como

para cubrir a todas las criaturas en su área.

Las criaturas y los objetos que haya en la emanación

cuando lances el conjuro pueden moverse por ella

libremente. El resto de criaturas y objetos no pueden

atravesarla. No pueden lanzarse conjuros de nivel 3

o inferior a través de ella y los efectos de estos conjuros

no pueden penetrar a su interior.

Dentro de la emanación, la atmósfera es cómoday seca,

con independencia del clima exterior. Hasta que el conjuro

termine, puedes hacer que el interior esté iluminado

con luz tenue o a oscuras (no requiere acción). Desde

el exterior, la emanación es opaca y del color que elijas,

pero es transparente desde el interior.

El conjuro termina antes si sales de la emanación

o lo vuelves a lanzar.",pendiente,
Perdición,1,Nivel 1,Encantamiento,bardo; clérigo; brujo,Acción,9 m,"V, S, M (una gota de sangre)","Concentración, hasta 1 minuto","Hasta tres criaturas de tu elección a las que puedas ver

dentro del alcance deberán hacer una tirada de salvación

de Carisma cada una. Siempre que un objetivo que haya

fallado esta tirada de salvación haga una tirada de ataque

o de salvación antes de que termine el conjuro, deberá

restar 1d4 al resultado de dicha tirada.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 1 que tenga el espacio.",pendiente,
Piedad con los Moribundos,0,Truco,Nigromancia,clérigo; druida,Acción,"4,5 m","V, S",Instantáneo,"Elige a una criatura dentro del alcance que tenga O puntos

de golpe y no esté muerta. La criatura pasa a estar estable.

Mejora de truco. El alcance se duplica cuando alcanzas

los niveles 5 (9 m), 11 (18 m) y 17 (36 m).",ok,
Piel Pétrea,4,Nivel 4,Transmutación,druida; explorador; hechicero; mago,Acción,Toque,"V, S, M (polvo de diamante que valga al","Concentración, hasta 1 hora","menos 100 po y que se consume como parte del conjuro)

Hasta que el conjuro termine, una criatura voluntaria a la

que toques tiene resistencia al daño contundente, cortante

y perforante.",pendiente,
Piel Robliza,2,Nivel 2,Transmutación,druida; explorador,Acción adicional,Toque,"V, S, M (un puñado de corteza)",1 hora,"Tocas a una criatura voluntaria. Hasta que el conjuro

termine, la piel del objetivo adopta una apariencia de

corteza y su clase de armadura no podrá ser inferior a 17.",pendiente,
Plaga de Insectos,5,Nivel 5,Conjuración,clérigo; druida; hechicero,Acción,90 m,"V, S, M (una langosta)","Concentración, hasta 10 minutos","Un enjambre de langostas llena una esfera de 6 m de radio

centrada en un punto de tu elección dentro del alcance.

Permanece hasta que termine el conjuro y la zona se

considera ligeramente oscura y terreno difícil.

Cuando aparezca el enjambre, todas las criaturas dentro

de él harán una tirada de salvación de Constitución;

sufrirán 4d10 de daño perforante si la fallan o la mitad del

daño si la superan. Una criatura también hará esta tirada

cuando entre en el área del conjuro por primera vez en un

turno o termine su turno allí. Una criatura solo hace esta

tirada una vez por turno.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d10 por cada nivel por encima de 5 que tenga

el espacio.",pendiente,
Plegaria de Curación,2,Nivel 2,Abjuración,clérigo; paladín,10 minutos,9 m,V,Instantáneo,"a|

Hasta cinco criaturas de tu elección que permanezcan

dentro del alcance del conjuro durante todo su lanzami

obtienen los beneficios de un descanso corto y también

recuperan 2d8 puntos de golpe. Las criaturas no pueden

volver a beneficiarse de este conjuro hasta que finali

un descanso largo.

Con un espacio de conjuro de nivel superior. La cur

aumenta en 1d8 por cada nivel por encima de 2 que teng

el espacio.",pendiente,
Polimorfar,4,Nivel 4,Transmutación,,Acción,18 m,"V, S, M (un capullo de oruga)","Concentración, hasta 1 hora","Intentas transformar en una bestia a una criatura que

puedas ver dentro del alcance. El objetivo debe supera

una tirada de salvación de Sabiduría o adoptará la for

de una bestia hasta que termine el conjuro. Esa forma

Puede ser la de cualquier bestia que elijas y cuyo val

desafío sea igual o menor que el del objetivo (o que e

del objetivo si este no tiene un valor de desafío). El

del objetivo se sustituye por el de la bestia elegida,

objetivo conservará su alineamiento, personalidad, tip

de criatura, puntos de golpe y dados de puntos de golp

En el apéndice B puedes consultar varios perfiles de b

El objetivo obtiene una cantidad de puntos de golpe

temporales igual a los puntos de golpe de la forma de

bestia. Estos puntos de golpe temporales se desvanecer

si conservas alguno cuando el conjuro termine. El conj

termina antes de tiempo si el objetivo se queda sin pu

de golpe temporales.

Las acciones que puede realizar el objetivo están

limitadas por la anatomía de su nueva forma y no podrá

hablar ni lanzar conjuros.

El equipo del objetivo se funde con su nueva formay

criatura no podrá usar ese equipo ni beneficiarse de é",pendiente,
Polimorfar Verdadero,9,Nivel 9,Transmutación,bardo; brujo; mago,Acción,18 m,"V, S, M (un diamante que valga al menos","Concentración, hasta 1 minuto","de goma arábiga y un jirón de humo)

Elige a una criatura o un objeto no mágico que puedas

ver dentro del alcance. La criatura adopta la forma de

otra criatura o la de un objeto no mágico, o el objeto

convierte en una criatura (el objeto no puede llevarse

vestirse). La transformación dura hasta que el conjuro

termine o hasta que el objetivo muera o sea destruido,

pero si mantienes la concentración en el conjuro duran

su duración completa, permanecerá hasta que sea disipa

Una criatura no voluntaria puede hacer una tirada de

salvación de Sabiduría y, si la supera, el conjuro no

Criatura en criatura. Si conviertes a una criatura e

otro tipo de criatura, la nueva forma puede ser cualqu

tipo que elijas y que tenga un valor de desafío igual

que el valor de desafío o el nivel del objetivo. El perfil del

ento           objetivo se reemplaza por el perfil de la nueva forma, pero

mantiene sus puntos de golpe, dados de puntos de golpe,

alineamiento y personalidad.

cen              El objetivo obtiene una cantidad de puntos de golpe

temporales igual a los puntos de golpe de la nueva forma.

ación          Estos puntos de golpe temporales se desvanecerán si

a              conservas alguno cuando el conjuro termine.

Las acciones que puede realizar el objetivo están

limitadas por la anatomía de su nueva forma y no podrá

hablar ni lanzar conjuros.

El equipo del objetivo se funde con su nueva forma y la

go)            criatura no podrá usar ese equipo ni beneficiarse de él.

Objeto en criatura. Puedes convertir un objeto en

cualquier tipo de criatura, siempre que el tamaño de dicha

criatura no sea mayor que el del objeto y que su valor de

desafío sea de 9 o menos. La criatura es amistosa contigo

y tus aliados. En combate, sus turnos van inmediatamente

después de los tuyos y obedece tus órdenes.

r                 Si el conjuro dura más de una hora, dejas de controlar

ma             a la criatura, que puede seguir siendo amistosa contigo

en función de cómo la hayas tratado.

or de            Criatura en objeto. Si conviertes a una criatura en un

l nivel        objeto, se transforma en esa forma junto con todo lo que

perfil        lleve o vista, siempre que el tamaño del objeto no sea mayor

pero el       que el de la criatura. El perfil de la criatura pasa a ser el del

o              objeto y no tiene recuerdos del tiempo pasado en esa forma

e.             después de que el conjuro termine y vuelva a la normalidad.

estias.

PORTAL

án             Conjuración de nivel 9 (brujo, clérigo, hechicero, mago)

uro

ntos

5000 po)

la             Conjuras un portal que enlaza un espacio sin ocupar que

l.             puedas ver dentro del alcance con una ubicación precisa

situada en otro plano de existencia. El portal es una

abertura circular a la que puedes dar un diámetro de entre

1,5 y 6 m, que puedes orientar en la dirección que elijas.

El portal permanece hasta que el conjuro termine y puede

verse su destino a través de él.

El portal tiene una parte delantera y otra trasera en

cada plano en el que aparece y solo es posible desplazarse

a través de él si se atraviesa por la parte delantera.

Cualquier cosa que lo haga es transportada al instante

al otro plano y aparecerá en el espacio sin ocupar más

cercano al portal.

Las deidades y otros gobernantes de planos pueden

se            impedir que los portales creados mediante este conjuro se

ni            abran en su presencia o en cualquier lugar dentro de sus

dominios.

Cuando lances el conjuro, puedes decir el nombre de una

te             criatura específica (no sirven un pseudónimo, un título

do.            o un apodo). Si esa criatura está en un plano distinto al

tuyo, el portal se abrirá junto a la criatura mencionada

le afectará.   y la transportará al espacio sin ocupar más cercano en tu

n              lado del portal. No obtienes ningún poder especial sobre

ier            la criatura y será libre de actuar según tu DM considere

o menor        apropiado: puede irse, atacarte o ayudarte.

ABRIR UN ACCESO A LAS TIERRAS

EXTERIORES.",pendiente,
Potenciar Característica,2,Nivel 2,Transmutación,,Acción,Toque,"V, S, M (pelo de animal o una pluma)","Concentración, hasta 1 hora","hechicero, mago)

Tocas a una criatura y eliges Fuerza, Destreza,

Inteligencia, Sabiduría o Carisma. Hasta que termine

el conjuro, el objetivo tiene ventaja en las pruebas c

la característica elegida.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 2 que tenga el espacio. Puedes elegir un

característica distinta para cada objetivo.",pendiente,
Presciencia,9,Nivel 9,Adivinación,bardo; brujo; druida; mago,Acción,Lanzador,"V, S, M (una tiara en miniatura)","Concentración, hasta 1 minuto","Tocas a una criatura voluntaria y la dotas de una capa

limitada de ver el futuro inmediato. Hasta que el conj

termine, el objetivo tendrá ventaja en las pruebas con

y las demás criaturas tendrán desventaja en las tirada

ataque contra él. El conjuro termina antes si lo vuelv

a lanzar.

PRESENCIA REGIA DE YOLANDE

orador,   Encantamiento de nivel5 (bardo, mago)

Te rodeas de una majestuosidad sobrenatural en una

emanación de 3 m. Siempre que la emanación entre en el

espacio de una criatura que puedas ver

y siempre que una

on        criatura que puedas ver entre en la emanación o termine

su turno allí, puedes obligar a la criatura a hacer una tirada

de salvación de Sabiduría. Si la falla, el objetivo sufrirá 4d6

de daño psíquico, tendrá el estado de derribado y podrás

a         empujarlo hasta 3 m respecto a ti. Si la supera, solo sufrirá

la mitad de ese daño. Una criatura solo hace esta tirada

una vez por turno.",pendiente,
Prestidigitación,0,Truco,Transmutación,bardo; brujo; hechicero; mago,Acción,3 m,"V, S",Hasta 1 hora,"cidad

uro       Creas un efecto mágico dentro del alcance, elegido de

d20      entre las opciones a continuación. Si lanzas este conjuro

s de      varias veces, puedes mantener activos a la vez hasta tres

es        de sus efectos no instantáneos.

Efecto sensorial. Creas un efecto sensorial instantá

e inofensivo, como una lluvia de chispas, una ligera r

de viento, tenues notas musicales o un olor extraño.

Jugar con fuego. Enciendes o apagas al instante una

una antorcha o una hoguera pequeña.

Limpiar o ensuciar. Limpias o ensucias al instante u

objeto de hasta 0,03 m'.

Sensación menor. Enfrías, calientas o das sabor a un

material inerte de hasta 0,03 mi durante 1 hora.

Marca mágica. Haces que aparezca una mancha de color

una pequeña marca o un símbolo en un objeto o superfic

durante 1 hora.

Creación menor. Creas un abalorio no mágico o una

imagen ilusoria que te cabe en la mano y dura hasta el

final de tu siguiente turno. El abalorio no inflige da

y no tiene valor monetario.",rechazado,
Prohibición,6,Nivel 6,Abjuración,clérigo,10 minutos o un ritual,Toque,"V, S, M (polvo de rubí que valga al menos",1 día,"1000 po)

Creas una protección contra los viajes mágicos que

cubre una zona del suelo de 4000 m? hasta una altura

de 9 m. Hasta que termine el conjuro, ninguna criatura

podrá teletransportarse a esa zona ni entrar en ella

usando portales, como los creados por el conjuro porta

El conjuro protege la zona frente al viaje interplanar

por lo que impide que cualquier criatura entre en el á

mediante el Plano Astral, el Plano Etéreo, los Parajes

Feéricos, el Páramo Sombrío o el conjuro desplazamient

entre planos.

Además, el conjuro daña a los tipos de criaturas qu

al lanzarlo. Elige uno o más de los siguientes: aberra

celestiales, elementales, feéricos, infernales y muert

vivientes. Cuando una criatura de un tipo elegido entr

la zona del conjuro por primera vez en un turno o term

su turno allí, recibirá 5d10 de daño radiante o necrót

(a tu elección cuando lanzas el conjuro).

Puedes designar una contraseña cuando lanzas el

conjuro. Si una criatura pronuncia la contraseña al en

en el área, no recibirá daño del conjuro.

La zona del conjuro no se puede superponer con la de

otro conjuro prohibición. Si lanzas prohibición todos

días durante 30 días en la misma ubicación, el conjuro

durará hasta que sea disipado y los componentes

materiales se consumirán en el último lanzamiento.",pendiente,
